,frequency,quantity,change,Other,Start_Drinking,Other.1,age_group,weight_loss,fitness_goals,unproductive_time,lack_of_control,hangovers,mental_health,drinking_habits,embarassment,concern_from_others,Other.2,I want to feel in control of my drinking habits,I want to look better,I want to hit my health and fitness goals,I want to lose weight,I want to learn how to have fun without drinking,I want to feel more energised,I want to regain time for activities that are important to me,I want to see if my drinking is a problem,I want to be a better role model,I want to learn how to deal with emotions in new ways,Other.3,My social life. How am I supposed to have fun without drinking or not seem boring?,My drinking isn't actually a 'problem'. Why change if I'm not an alcoholic?,Bad habits. I always pour a drink when I get home from work.,It's not the right time; I have an event coming up where I'll need to drink.,"Alcohol is how I relax, celebrate, comfort myself everything!",Drinking is just the norm,Other.4,I've successfully done dry months (like Dry January) and kept good habits afterwards,I've successfully done dry months (like Dry January) but fell back into bad habits afterwards,I've tried dry months (like Dry January) but have struggled to complete them,I've made up drinking rules for myself and am very good at sticking with them,I made up rules drinking for myself but can never stick to them,I've read books,I've done a programme,I haven't,Roughly how much do you spend on alcohol in a week?,Score,Ending,freq1,quant1,budget,consumption,cons2,freq2,freq_w,quantity_
87,3-4 times a week,8-12 units,I'm not exactly sure but I need to do something different,0,In my early teens,0,In my 40s,False,False,False,False,True,False,False,False,False,0,True,True,False,False,False,False,False,False,False,False,0,False,False,False,False,False,True,0,False,False,False,False,False,False,False,True, £30- £40,9,"Alcohol is causing you more trouble than you realise, ",3.5,10.0,35,35.0,2xabove,>=5Units,3-4 times a week,8-12 units
88,3-4 times a week,More than 20 units,I want to reduce how much alcohol I'm drinking,0,In my late teens,0,In my 40s,True,True,True,True,True,True,False,True,False,0,True,True,True,True,True,True,True,False,False,True,0,True,False,True,False,True,False,0,False,True,False,False,True,True,True,False, £30- £40,11,"Alcohol plays a big part in your life, ",3.5,30.0,35,105.0,2xabove,>=5Units,3-4 times a week,20 units+
91,Once every two weeks,12-20 units,I want to detox and reset my drinking habits,0,In my 40s,45,In my 40s,True,False,False,False,False,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,True,False,False,False,False, £10- £20,7,"Alcohol is causing you more trouble than you realise, ",0.5,16.0,15,8.0,within  norm,>=5Units,<1 time per week,12-20 units
95,1-2 times a week,More than 20 units,I want to reduce how much alcohol I'm drinking,0,In my 20s,0,In my 40s,False,False,False,False,False,True,False,False,False,0,False,False,False,True,False,False,False,False,False,False,0,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False, £10- £20,10,"Alcohol is causing you more trouble than you realise, ",1.5,30.0,15,45.0,2xabove,>=5Units,1-2 times a week,20 units+
103,Every day,5-9 units,I want to reduce how much alcohol I'm drinking,0,In my late teens,0,In my 40s,False,False,False,False,False,False,False,True,False,0,False,True,True,True,False,False,False,False,True,False,0,False,True,False,False,False,False,0,True,False,False,False,False,False,False,False, £20- £30,17,"Alcohol plays a big part in your life, ",7.0,6.5,25,45.5,2xabove,>=5Units,Every day,5-9 units
104,3-4 times a week,8-12 units,I want to reduce how much alcohol I'm drinking,0,In my 20s,0,In my 40s,False,False,False,False,False,False,True,False,False,0,False,True,True,True,False,True,False,False,False,False,0,True,False,False,False,False,True,0,True,False,False,False,True,False,False,False, £30- £40,9,"Alcohol is causing you more trouble than you realise, ",3.5,10.0,35,35.0,2xabove,>=5Units,3-4 times a week,8-12 units
117,Every day,5-9 units,I want to reduce how much alcohol I'm drinking,0,In my late teens,0,In my 40s,True,False,False,False,False,True,True,True,False,0,True,True,False,True,False,False,False,True,False,False,0,True,True,False,False,True,False,0,False,False,False,False,False,False,False,True, £40- £50,17,"Alcohol plays a big part in your life, ",7.0,6.5,45,45.5,2xabove,>=5Units,Every day,5-9 units
118,Every day,More than 20 units,I want to completely stop drinking alcohol for good,0,In my early teens,0,In my 40s,True,False,False,False,False,False,False,False,False,0,False,False,True,False,False,False,False,False,False,False,0,False,False,True,False,False,False,0,False,False,False,False,True,False,False,False, £30- £40,21,"Alcohol is causing you more trouble than you realise, ",7.0,30.0,35,210.0,2xabove,>=5Units,Every day,20 units+
122,Every day,12-20 units,I want to detox and reset my drinking habits,0,In my 40s,42,In my 40s,False,False,True,False,False,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,False,False, £30- £40,20,"Alcohol plays a big part in your life, ",7.0,16.0,35,112.0,2xabove,>=5Units,Every day,12-20 units
123,Every day,12-20 units,I want to reduce how much alcohol I'm drinking,0,In my late teens,0,In my 40s,True,False,False,False,True,False,False,False,False,0,False,True,False,True,False,False,False,False,False,False,0,False,False,True,False,True,False,0,False,True,False,False,False,False,False,False, £50+,20,"Alcohol plays a big part in your life, ",7.0,16.0,55,112.0,2xabove,>=5Units,Every day,12-20 units
124,Every day,5-9 units,I want to reduce how much alcohol I'm drinking,0,In my 20s,0,In my 40s,False,False,False,True,False,False,True,True,True,0,True,True,False,False,True,True,False,False,False,True,0,False,False,True,True,False,True,0,False,False,False,False,True,False,True,False, £20- £30,17,"Alcohol plays a big part in your life, ",7.0,6.5,25,45.5,2xabove,>=5Units,Every day,5-9 units
125,Every day,5-9 units,I want to detox and reset my drinking habits,0,In my late teens,0,In my 40s,True,False,False,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,0,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True, £40- £50,17,"Alcohol plays a big part in your life, ",7.0,6.5,45,45.5,2xabove,>=5Units,Every day,5-9 units
128,Every day,More than 20 units,I'm not exactly sure but I need to do something different,0,In my late teens,0,In my 40s,False,False,False,False,False,False,False,False,False,Blurred vision and balance problems when sober surely indicate that my current alcohol intake is not healthy or sustainable in the long-term. God only knows how my liver still functions,True,True,False,True,True,True,False,False,False,False,0,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False, £50+,21,"Alcohol is causing you more trouble than you realise, ",7.0,30.0,55,210.0,2xabove,>=5Units,Every day,20 units+
135,Once a month,More than 20 units,I'm not exactly sure but I need to do something different,0,In my late teens,0,In my 40s,True,True,False,False,False,False,False,False,False,0,False,True,True,True,False,False,False,False,False,False,0,True,False,False,True,False,False,0,False,True,False,False,False,False,False,False, £10- £20,7,"Alcohol is causing you more trouble than you realise, ",0.25,30.0,15,7.5,within  norm,>=5Units,<1 time per week,20 units+
138,1-2 times a week,8-12 units,I want to reduce how much alcohol I'm drinking,0,In my 20s,0,In my 40s,True,False,False,False,False,False,False,False,False,0,False,True,False,False,False,False,False,False,False,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,False,False,Under £10,8,"Alcohol is causing you more trouble than you realise, ",1.5,10.0,5,15.0,within  norm,>=5Units,1-2 times a week,8-12 units
141,1-2 times a week,12-20 units,I want to detox and reset my drinking habits,0,In my early teens,0,In my 40s,True,False,True,False,False,False,False,False,False,0,False,True,False,True,False,False,False,False,False,False,0,True,False,False,False,False,True,0,True,False,False,False,False,False,False,False, £20- £30,9,"Alcohol is causing you more trouble than you realise, ",1.5,16.0,25,24.0,2x norm,>=5Units,1-2 times a week,12-20 units
142,Every day,12-20 units,I'm not exactly sure but I need to do something different,0,In my early teens,0,In my 40s,False,False,False,True,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,False,0,False,False,False,False,True,False,0,False,True,False,False,False,True,True,False, £40- £50,20,"Alcohol plays a big part in your life, ",7.0,16.0,45,112.0,2xabove,>=5Units,Every day,12-20 units
143,Every day,5-9 units,I want to reduce how much alcohol I'm drinking,0,In my late teens,0,In my 40s,False,False,False,False,False,False,True,False,False,0,False,False,False,False,False,False,False,True,False,False,0,False,False,True,False,False,False,0,False,False,False,False,False,False,False,True, £20- £30,17,"Alcohol plays a big part in your life, ",7.0,6.5,25,45.5,2xabove,>=5Units,Every day,5-9 units
148,Every day,8-12 units,I want to drastically cut back and only drink on rare occasions,0,In my 20s,0,In my 40s,False,False,False,True,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,True,0,False,False,True,False,False,False,0,True,False,False,False,False,False,False,False, £50+,19,"Alcohol plays a big part in your life, ",7.0,10.0,55,70.0,2xabove,>=5Units,Every day,8-12 units
149,3-4 times a week,8-12 units,I want to completely stop drinking alcohol for good,0,In my 20s,0,In my 40s,False,False,False,False,True,False,False,False,False,0,False,False,True,False,False,False,False,False,False,False,0,False,False,False,False,False,True,0,False,False,True,False,False,False,False,False, £20- £30,9,"Alcohol is causing you more trouble than you realise, ",3.5,10.0,25,35.0,2xabove,>=5Units,3-4 times a week,8-12 units
155,Once every few months,8-12 units,I want to completely stop drinking alcohol for good,0,In my early teens,0,In my 40s,False,False,False,False,True,False,False,False,False,0,False,False,False,False,True,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,False,False,False,False,True,Under £10,5,"Alcohol is causing you more trouble than you realise, ",0.1,10.0,5,1.0,within  norm,>=5Units,<1 time per week,8-12 units
156,3-4 times a week,5-9 units,I want to drastically cut back and only drink on rare occasions,0,In my late teens,0,In my 40s,False,True,False,False,False,False,False,False,False,0,False,False,True,False,False,False,False,False,False,False,0,False,False,False,False,True,False,0,True,True,False,False,False,False,False,False, £10- £20,7,"Alcohol is causing you more trouble than you realise, ",3.5,6.5,15,22.75,2x norm,>=5Units,3-4 times a week,5-9 units
157,5-6 times a week,12-20 units,I want to reduce how much alcohol I'm drinking,0,In my late teens,0,In my 40s,False,False,False,True,False,False,False,False,False,0,True,False,False,False,False,False,False,True,False,False,0,False,False,True,False,True,False,0,False,False,False,False,True,False,False,False, £50+,15,"Alcohol plays a big part in your life, ",5.5,16.0,55,88.0,2xabove,>=5Units,5-6 times a week,12-20 units
162,1-2 times a week,5-9 units,0,I'm ok,In my early teens,0,In my 40s,False,True,False,False,False,False,False,False,False,0,False,True,True,True,False,True,False,False,False,False,0,False,True,False,False,False,False,0,False,False,False,True,False,False,False,False, £10- £20,6,"Alcohol is causing you more trouble than you realise, ",1.5,6.5,15,9.75,within  norm,>=5Units,1-2 times a week,5-9 units
170,5-6 times a week,12-20 units,I want to drastically cut back and only drink on rare occasions,0,In my 20s,0,In my 40s,True,True,True,True,False,True,False,False,False,0,True,True,True,True,True,True,True,True,False,False,0,False,False,True,False,False,False,0,False,False,False,False,True,False,False,False, £50+,15,"Alcohol plays a big part in your life, ",5.5,16.0,55,88.0,2xabove,>=5Units,5-6 times a week,12-20 units
171,Every day,5-9 units,I'm not exactly sure but I need to do something different,0,In my 20s,0,In my 40s,False,False,False,False,True,False,False,False,False,0,False,False,False,False,False,False,False,False,False,True,0,False,False,True,False,False,False,0,False,False,False,True,False,False,False,False, £20- £30,17,"Alcohol plays a big part in your life, ",7.0,6.5,25,45.5,2xabove,>=5Units,Every day,5-9 units
173,Every day,8-12 units,I want to completely stop drinking alcohol for good,0,In my 30s,0,In my 40s,False,False,True,False,False,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,0,False,False,True,False,False,False,0,False,False,True,False,False,False,False,False, £40- £50,19,"Alcohol plays a big part in your life, ",7.0,10.0,45,70.0,2xabove,>=5Units,Every day,8-12 units
174,3-4 times a week,8-12 units,I want to detox and reset my drinking habits,0,In my 40s,43,In my 40s,False,False,True,False,False,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,0,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,Under £10,9,"Alcohol is causing you more trouble than you realise, ",3.5,10.0,5,35.0,2xabove,>=5Units,3-4 times a week,8-12 units
176,Every day,8-12 units,I want to reduce how much alcohol I'm drinking,0,In my early teens,0,In my 40s,False,False,False,False,True,False,False,False,False,0,False,True,False,False,False,False,False,False,False,False,0,False,False,True,False,False,False,0,False,False,False,False,False,False,False,True, £30- £40,19,"Alcohol plays a big part in your life, ",7.0,10.0,35,70.0,2xabove,>=5Units,Every day,8-12 units
181,3-4 times a week,5-9 units,I want to reduce how much alcohol I'm drinking,0,In my early teens,0,In my 40s,False,False,False,False,False,True,False,False,False,0,False,False,True,False,False,False,False,False,False,False,0,False,False,False,False,False,True,0,False,False,False,False,False,False,False,True, £20- £30,7,"Alcohol is causing you more trouble than you realise, ",3.5,6.5,25,22.75,2x norm,>=5Units,3-4 times a week,5-9 units
184,3-4 times a week,2-4 units,I'm not exactly sure but I need to do something different,0,In my late teens,0,In my 40s,False,False,False,True,False,False,False,False,False,0,False,False,False,False,False,True,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,False,False,False,False,True, £10- £20,6,"Alcohol is causing you more trouble than you realise, ",3.5,3.0,15,10.5,within  norm,<5Units,3-4 times a week,1-4 units
193,3-4 times a week,More than 20 units,I'm not exactly sure but I need to do something different,0,In my 20s,0,In my 40s,False,False,False,False,True,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,0,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True, £50+,11,"Alcohol plays a big part in your life, ",3.5,30.0,55,105.0,2xabove,>=5Units,3-4 times a week,20 units+
194,1-2 times a week,More than 20 units,I'm not exactly sure but I need to do something different,0,In my late teens,0,In my 40s,False,False,False,False,False,True,False,False,False,0,False,False,False,True,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,False,False,False,False,True, £50+,10,"Alcohol is causing you more trouble than you realise, ",1.5,30.0,55,45.0,2xabove,>=5Units,1-2 times a week,20 units+
195,1-2 times a week,8-12 units,I want to reduce how much alcohol I'm drinking,0,In my 20s,0,In my 40s,True,False,False,False,False,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,True,False,False,False,False,False, £10- £20,8,"Alcohol is causing you more trouble than you realise, ",1.5,10.0,15,15.0,within  norm,>=5Units,1-2 times a week,8-12 units
196,Every day,12-20 units,I'm not exactly sure but I need to do something different,0,In my early teens,0,In my 40s,False,False,False,True,True,True,True,False,False,0,False,False,False,False,False,True,False,False,True,True,0,False,False,False,False,False,True,0,False,False,False,False,False,False,False,True, £50+,20,"Alcohol plays a big part in your life, ",7.0,16.0,55,112.0,2xabove,>=5Units,Every day,12-20 units
198,1-2 times a week,12-20 units,I want to reduce how much alcohol I'm drinking,0,In my 40s,48,In my 40s,False,False,True,False,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,0,False,False,True,False,False,False,0,False,False,False,False,True,False,False,False, £40- £50,9,"Alcohol is causing you more trouble than you realise, ",1.5,16.0,45,24.0,2x norm,>=5Units,1-2 times a week,12-20 units
200,1-2 times a week,1-2 units,I want to completely stop drinking alcohol for good,0,In my 30s,0,In my 40s,True,False,False,False,False,False,False,False,True,0,False,True,False,True,True,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True, £10- £20,4,"Alcohol is causing you more trouble than you realise, ",1.5,1.5,15,2.25,within  norm,<5Units,1-2 times a week,1-4 units
202,Every day,8-12 units,I want to reduce how much alcohol I'm drinking,0,In my 30s,0,In my 40s,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,False,False,False,0,False,False,True,False,False,False,0,False,False,False,False,True,False,False,False, £50+,19,"Alcohol plays a big part in your life, ",7.0,10.0,55,70.0,2xabove,>=5Units,Every day,8-12 units
204,1-2 times a week,12-20 units,I want to detox and reset my drinking habits,0,In my late teens,0,In my 40s,True,False,False,False,True,False,False,False,False,0,False,False,False,True,True,False,False,False,False,False,0,True,False,False,False,True,False,0,False,False,True,False,True,False,False,False, £30- £40,9,"Alcohol is causing you more trouble than you realise, ",1.5,16.0,35,24.0,2x norm,>=5Units,1-2 times a week,12-20 units
205,Every day,5-9 units,I want to reduce how much alcohol I'm drinking,0,In my early teens,0,In my 40s,True,False,False,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,0,False,False,False,False,False,False,Partner works in hospitality,False,False,False,False,False,True,False,False,Under £10,17,"Alcohol plays a big part in your life, ",7.0,6.5,5,45.5,2xabove,>=5Units,Every day,5-9 units
206,Every day,8-12 units,I want to drastically cut back and only drink on rare occasions,0,In my 20s,0,In my 40s,False,False,False,False,True,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,0,False,False,True,False,False,False,0,True,False,False,False,False,False,False,False, £10- £20,19,"Alcohol plays a big part in your life, ",7.0,10.0,15,70.0,2xabove,>=5Units,Every day,8-12 units
212,Every day,8-12 units,0,Cheap beer,In my early teens,0,In my 40s,False,False,False,False,False,False,False,False,False,The week,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,True,0,False,False,False,False,False,False,False,True, £50+,19,"Alcohol plays a big part in your life, ",7.0,10.0,55,70.0,2xabove,>=5Units,Every day,8-12 units
214,1-2 times a week,12-20 units,I'm not exactly sure but I need to do something different,0,In my late teens,0,In my 40s,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,True,False,False,False,False,False, £20- £30,9,"Alcohol is causing you more trouble than you realise, ",1.5,16.0,25,24.0,2x norm,>=5Units,1-2 times a week,12-20 units
